username,Prediccion
05743498d061bf472df897f1e5bdda6d62e99312c952e36ed64d0d14dd648544,1
afca888290f061f966a5f4ab433b53ac73734e00bdfce6ac5ab99a9da36de356,1
95ee01a5a7e3c41023fc379d6acb0f47860f2149caacb1126492a6a983ece902,1
4f824a96d26c45a3e047fd26f1f164371e86b4cab538956a17cab40108ce31c9,1
ef14776d7e8bc0b6ad12b59d9b12e2d742e962dfc415b0a696a5fb70c7962b5f,1
0814bd9742062fde4e421aa3daddd58dcccd8492dabe1f4787df15d1eb792949,1
1c49b51ebdc0d1086532599f9050d4e1c8d8f44fcc69a2eb1a50682e6d5df52d,1
3d7cd094c0c10d78f6120e298b60ee77335d5aa8de8ed2fd5a64fe5692a98f7d,1
3eb2b8564f21e7f422e6c455d0fe25542f615ef913a1b25cba22f28fe83f5a76,1
febbf1af91737d0fe326fb968636bf3f6f0917a04f0ac3c19fec055822b74bc0,1
0ed6d58919fc148130b38fb3fee933dceef66196744547238d68c67a10cffdd9,1
d0e2d0908d697091c2c3550c91010f923cdb6846aac00d406fd5fce3077445d4,1
42c23949dd5130fd4d1d3a1a7332e9f299e2aab1719152ad31239fb3ffad5642,1
2a214178ed8dca0850bd34a2c9f3c4fa55b522e37fa002370aff5e00ad659ad9,1
a6553f9d1922732c863cf2b864a2ae244459b31acac65699aeeb0efff72d89b6,1
4e4f0ab542c091047a4e3663209fc7617625f249a38ccc0e1a63ee4dcf3f8eb6,1
1d75c26570936b27db324788d6bccf287575cbc75738c5b1e36b4cea3207e9c2,1
3805d992ffef4793ce5428b47e271f8271a2cccab8559351e79f86736a80df9d,1
4085ffb4c128e9e7c4be2b0a5bbaafa937144de9152877cb9e125fc5e86e5f65,1
3e8388d03c2d1d022eafc8bc3418cabe7616c1d9dae56f0825cb6fb9cc871133,1
de3fa27bedc31d4e99d32292837bbe5ceb8262057139a995516a66c7757ac7d8,0
c7fea43eb7f90ee7bfa57d67c3800ae17df9a174e3aa1116f5978adc18ea6d1e,1
11084a4912f7ec3c5e461d2b3345108618800c96319402d38657af50969a3ab0,1
9e967c4323d9363281f4807ee12ba83ca730c010aa2ea28aaff0c121e5b50b82,1
6f0625e584530cf4cb6f731aabea566f1250a02439de24519ee96d9c27555b04,1
f79fd33c9902bb3dcf5b05c54d608a44e89b87edc14a3747ed37410752419072,1
199aa49fe64705a94459f72b8351788b4686da1eea18ad9a08fce4b26dbba729,1
fd8c082ca11740170f2a5f0008a999f578f17b266bf64e0e51bbb05012cdc097,1
47fe70fac2bc970cdcbce9a599b862c16764de80efef82f09ee4fc67a2a3454f,1
706b0264725afe8bee13af119da4d435439417e5a858cc5023d12d47fb7a0fa3,1
185eeb62370c07ee7b30ba3a2eea4a657a099ec33337ab45639238c3e764cfd3,1
fe1f2339d98308cc992adf675531e0562a1de7d055e306587847fc89ac06a328,1
8e983ca99550f13d30b4c998d7d5a870dba3f1d10d430beb363a0bf22a9a1b1f,1
9e9cd4279544d1447f56caba25f5729007c903ceec7c0baed47354623ace2c72,1
5db204d518356aacda3c7727334db4e787aacfa180873ebc49c8bea51ae48dd1,1
