,Unnamed: 0,Username,Grade,Quiz 1: Uso de modelos matemáticos en la economía,Quiz 2: Motivación y Función de Producción,Quiz 3: Preferencias y Toma de Decisiones,Quiz 4: Salario y Efectos,Quiz 5: Explicando Diferencias y Conclusión,Quiz 6: Introducción y conceptos iniciales,Quiz 7: Prediciendo el resultado de un juego,Quiz 8: Evaluación de Resultados,Quiz 9: Determinación de Asignaciones,Quiz 10: Desigualdad,Quiz 11: Conceptos centrales,Quiz 12: Profundizando lo aprendido,Quiz 13: Conceptos centrales,Quiz 14: Profundizando lo aprendido,Quiz 15: Conceptos centrales,Quiz 16: Profundizando lo aprendido,"Quiz 18: Oferta, demanda y equilibrio de mercado",Quiz 19: Cambios en la oferta y la demanda,Quiz 20: Excedentes y la mano invisible,Quiz 21: Impuestos y Subsidios,Quiz 22: Eficiencia y externalidades,Quiz 23: Corrección de fallas,Quiz 24: Otras fuentes de ineficiencia,Quiz 25: Regla de la mayoría,Quiz 26: La paradoja de Condorcet,Quiz 27: Teorema del votante mediano,Quiz 28: Decisiones intertemporales,Quiz 29: Tópicos Adicionales,Quiz (Avg)
12,16,5406ddd7274377ad274f1eae6171b3a00e270c716bb56335f2d0be5882a1338e,0.96,-1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9224137931034484
13,17,2827dad214ec92d12a578451e18fa4f5d547f473fc0775233cfeb3a24517dd02,0.93,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896551724137931
14,18,527fca13b967499fb7a4d7d371015e257e0847b0ef02f7f230bc27d233c5b11c,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9310344827586208
15,19,d42f54a88ce5170c31a2838db0e2d767a8e3de9f1a711180130f213b2550761c,0.94,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9051724137931034
16,20,44ed64ec22d9016630fdeb04a4d799718854636d7413d7e272d729ddfc58486c,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
17,21,223d754122d2593150bb76de5d33ddd39ae98af002fc4fc80245aae771181118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
20,24,d8d7099c56fe93024140ae98245ebcc77badf21b84befcd61c48ff4f815c02b6,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6579310344827586
21,25,0814bd9742062fde4e421aa3daddd58dcccd8492dabe1f4787df15d1eb792949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
22,26,b99c3b42011ad85f74d05afaa3dd5f837e70a7a0a1ab70cf8e2adb5d81550197,0.99,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956896551724138
23,27,de08767c85b02c517c279f732588e65d592bdaaa4ac63446b956144d95d300c9,0.78,-1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.5,0.75
24,28,66f6e46b9bf16ad6252ccc2120bf9372ae49cbfbf8c157fce77dccc2fdb8f0c0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9196551724137932
25,29,fa796b7ce52659b526ca96189f0fe129a0209943e6a422b502cdfe2acd08798d,0.96,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9310344827586208
26,30,b88ef2254242e15478c58779f6e271577009814f730159941dee840b7b2a783c,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9310344827586208
27,31,1c49b51ebdc0d1086532599f9050d4e1c8d8f44fcc69a2eb1a50682e6d5df52d,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
28,32,f211fe6b2e553d19e1f4639a1249c1b40c142e861b19a3dff04f71e7dd17d770,0.85,1.0,0.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8189655172413793
29,33,c7d88ba02adde97288b819719343c9a4ab025c488d5a304669eea91ba686244c,0.79,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.7586206896551724
30,34,841cb67ca782f4e8d4e6a27164a5216f3ca2cb042593b1a71cd66fcdbc622ea9,0.88,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.853448275862069
31,35,e44b7a9c2dbacb3cff3501f088094dd421cb48d0909755df34a3682cf2aec946,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.0,1.0,0.0,1.0,1.0,0.7817241379310346
32,36,fe6fc7f1c7d4beaa8911b553ddee756d9f89d5bfc0c67b79cb413d49aa2daff5,0.82,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5662068965517242
33,37,3d7cd094c0c10d78f6120e298b60ee77335d5aa8de8ed2fd5a64fe5692a98f7d,0.88,1.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.853448275862069
35,39,83bec726b5adfad86c24cd3b4e2e5148875468963fa7980cec659d6bf9372e35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
36,40,3eb2b8564f21e7f422e6c455d0fe25542f615ef913a1b25cba22f28fe83f5a76,0.78,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.75
37,41,dfdcbd00c645d28d665c149d7eae8b594bbc0568f7ac59eda4c9a8fb1ed16696,0.96,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9310344827586208
38,42,febbf1af91737d0fe326fb968636bf3f6f0917a04f0ac3c19fec055822b74bc0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9224137931034484
39,43,45812a42130ee84abf5b435b2486aad834742d17d6168d34a23a3027158cc276,0.94,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9051724137931034
40,44,c5d7f2e01622aa79a54cdc44b6afb1924fac6fa073716b577428e619e3990120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
41,45,0ed6d58919fc148130b38fb3fee933dceef66196744547238d68c67a10cffdd9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
42,46,e9aaff292c414c6d2eff744662c000caefe3c2dd642d8a31ce5d2fe07edd34d9,0.91,-1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,0.8824137931034484
