,Unnamed: 0,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,seg_prev_mean,seg_prev_std,seg_next_mean,seg_next_std,seg_goto_mean,seg_goto_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,label
264,299951,0.95,1.0,0.913793103448276,0.75,0.9545454545454546,1.0,1.0,4.303704629573839,5.616157390289303,57.0,5.0,3.0,3.0,0.0,0.0,2.8181818181818183,2.9603439603593973,2.8181818181818183,2.9603439603593973,0.3636363636363636,0.6741998624632421,0.0,0.0,0.0,0.0,0.0,0.0,6.454545454545454,7.407612791765459,15.818181818181818,14.709304414677003,6.090909090909091,5.611676139168145,0.2727272727272727,0.4670993664969138,123.0,310.0,160.0,16.0,20.0,0
265,300975,0.96,1.0,0.9310344827586208,1.0,0.8181818181818182,1.0,1.0,7.620519541325368,10.200262359713143,57.0,9.0,5.0,3.0,0.0,0.0,1.411764705882353,2.265469695488437,1.411764705882353,2.265469695488437,0.2941176470588235,1.2126781251816647,0.0,0.0,0.0,0.0,0.0,0.0,4.411764705882353,4.00091901207416,25.47058823529412,43.02342043448374,11.058823529411764,15.582324073430504,0.7058823529411765,1.4037764192684383,132.0,459.0,539.0,37.0,1.0,1
266,302593,0.93,1.0,0.896551724137931,1.0,1.0,0.7777777777777778,0.3333333333333333,10.666195413224065,9.106209945371852,56.0,11.0,8.0,2.0,0.0,0.0,1.4285714285714286,2.1580414400893364,1.4285714285714286,2.1580414400893364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9047619047619047,5.494586079995125,10.428571428571429,14.565615086811228,5.619047619047619,7.123736312330704,0.2857142857142857,0.7171371656006361,65.0,445.0,198.0,18.0,1.0,1
267,303620,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,2.218713379516688,1.9847864139841715,56.0,3.0,5.0,4.0,0.0,0.0,2.75,2.8959218974902687,2.75,2.8959218974902687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,8.886489575175169,34.333333333333336,44.5795169706148,15.083333333333334,19.223368039651085,0.25,0.4522670168666455,129.0,700.0,313.0,18.0,14.0,1
268,305208,0.96,1.0,0.8620689655172413,1.0,0.6363636363636364,0.7777777777777778,1.0,3.1401061025355634,2.7434112961476127,55.0,8.0,4.0,2.0,0.0,0.0,1.9285714285714288,2.36852065853142,1.9285714285714288,2.36852065853142,0.4285714285714285,0.9376144618769908,0.0,0.0,0.0,0.0,0.0,0.0,4.857142857142857,3.820131750791665,13.785714285714286,30.339561812739007,9.642857142857142,26.054992561170256,0.0,0.0,189.0,307.0,96.0,13.0,0.0,1
269,306075,0.88,1.0,0.8448275862068966,0.5,0.7727272727272727,0.7777777777777778,1.0,3.8522508474348016,6.289334094982063,51.0,4.0,7.0,1.0,0.0,0.0,2.583333333333333,2.7784342658585555,2.583333333333333,2.7784342658585555,0.1666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,5.083333333333333,3.287948609787881,21.416666666666668,13.276488674161987,10.666666666666666,7.866307130972442,0.25,0.4522670168666455,112.0,423.0,224.0,15.0,17.0,1
270,307187,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,5.044021844871438,6.5525693852698375,51.0,6.0,2.0,2.0,0.0,0.0,3.4,2.503331114069145,3.4,2.503331114069145,0.1,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,6.4,4.526465385804788,25.0,23.990738953928776,10.8,9.761602782785667,0.3,0.6749485577105528,191.0,381.0,162.0,11.0,3.0,1
271,308263,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,5.207460577479205,6.667205644335481,57.0,12.0,8.0,4.0,0.0,0.0,1.2916666666666667,2.293263606961592,1.2916666666666667,2.293263606961592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.683098884269109,16.666666666666668,28.047578623950173,12.458333333333334,24.46999789745494,0.0,0.0,204.0,588.0,257.0,47.0,2.0,1
272,309866,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,2.8603086540760967,2.089775551114871,56.0,9.0,8.0,2.0,0.0,0.0,1.5263157894736843,2.169700979209183,1.5263157894736843,2.169700979209183,0.0526315789473684,0.2294157338705617,0.0,0.0,0.0,0.0,0.0,0.0,3.263157894736842,3.525180929370197,17.210526315789473,26.701183800990343,16.0,24.96219363579874,0.2631578947368421,0.452413928358864,189.0,403.0,263.0,40.0,7.0,0
273,311102,0.94,1.0,0.9110344827586208,1.0,0.9772727272727272,0.8522222222222222,1.0,3.568311391371244,3.400400096112993,57.0,5.0,4.0,3.0,0.0,0.0,2.833333333333333,2.9490625115398443,2.833333333333333,2.9490625115398443,0.0833333333333333,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,4.25,3.7929360179633447,19.666666666666668,19.40165566193366,16.75,16.23198301894358,0.0,0.0,83.0,372.0,209.0,13.0,9.0,1
274,312141,0.86,1.0,0.8275862068965517,1.0,0.6363636363636364,0.7777777777777778,1.0,0.7521154136093531,0.6590636834114573,56.0,4.0,5.0,1.0,0.0,0.0,3.0,3.590109871423003,3.0,3.590109871423003,1.4,2.6331223544175333,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.16403399335581,1.1,3.142893217686178,0.9,2.5144029554194818,0.7,1.888562063228706,31.0,112.0,43.0,12.0,8.0,1
275,312615,0.96,1.0,0.9310344827586208,1.0,0.9090909090909092,1.0,1.0,2.4212631924634285,1.6171967987475164,52.0,7.0,4.0,1.0,0.0,0.0,2.083333333333333,2.2343733444579583,2.083333333333333,2.2343733444579583,0.0833333333333333,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.58587203592669,7.416666666666667,11.781791292524495,5.416666666666667,8.240237566448867,0.5833333333333334,0.7929614610987591,82.0,232.0,78.0,8.0,0.0,1
