,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,seg_prev_mean,seg_prev_std,seg_next_mean,seg_next_std,seg_goto_mean,seg_goto_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,label
227343,0.92,1.0,0.8275862068965517,1.0,0.7272727272727273,0.6666666666666666,1.0,6.259656171082957,6.398103777767673,58.0,9.0,6.0,3.0,0.0,0.0,2.0555555555555554,2.9599726195518654,2.111111111111111,2.948357247267763,0.3333333333333333,0.7669649888473704,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,3.929526239966879,24.11111111111111,28.29651587134919,16.0,17.82925553524814,0.2777777777777778,0.8264420947336313,138.0,685.0,288.0,43.0,2.0,1
228892,0.84,1.0,0.8103448275862069,0.5,0.8181818181818182,0.7222222222222222,0.3333333333333333,7.921369278293792,6.6422557508105635,53.0,6.0,5.0,2.0,0.0,0.0,2.0,2.7988092706244445,2.0,2.7988092706244445,0.07692307692307693,0.2773500981126145,0.0,0.0,0.0,0.0,0.0,0.0,4.153846153846154,3.6479709850398083,15.153846153846153,16.08232028163305,9.384615384615385,10.095695960312835,0.23076923076923078,0.4385290096535146,105.0,316.0,193.0,7.0,0.0,1
229735,0.99,1.0,0.956896551724138,1.0,0.9772727272727273,1.0,1.0,9.507043743099914,7.655824913291918,57.0,7.0,3.0,2.0,0.0,0.0,2.75,3.165869118066518,2.75,3.165869118066518,0.3333333333333333,0.8876253645985945,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,4.086192567289223,8.0,11.086437250491743,5.416666666666667,8.72257607208635,0.5,0.904534033733291,86.0,233.0,74.0,15.0,14.0,1
230499,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,3.2025092709054004,3.621416286191104,53.0,10.0,7.0,1.0,0.0,0.0,1.8333333333333333,2.727851988394575,1.8333333333333333,2.727851988394575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,6.287241983947006,9.333333333333334,13.020346069314206,3.388888888888889,4.299642788020321,0.2222222222222222,0.7320844981409595,148.0,338.0,123.0,23.0,5.0,1
231717,0.88,1.0,0.853448275862069,1.0,0.7954545454545454,0.7777777777777778,0.3333333333333333,7.689571709700363,6.6560844405060475,58.0,9.0,7.0,3.0,0.0,0.0,1.631578947368421,2.2412924425129126,1.631578947368421,2.2412924425129126,0.05263157894736842,0.22941573387056177,0.0,0.0,0.0,0.0,0.0,0.0,4.7894736842105265,4.973026659092708,24.31578947368421,31.3369725396889,23.0,29.998148090988696,0.10526315789473684,0.3153017676423058,137.0,650.0,412.0,67.0,2.0,1
233369,0.93,1.0,0.896551724137931,1.0,0.8181818181818182,1.0,0.6666666666666666,1.9886334077447834,1.7862603386452935,53.0,5.0,3.0,1.0,0.0,0.0,2.888888888888889,2.758824226207808,2.888888888888889,2.758824226207808,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,4.294699575575042,6.444444444444445,7.2476049683863,5.777777777777778,6.139580152131288,1.2222222222222223,1.6414763002993507,79.0,158.0,74.0,19.0,6.0,1
233992,0.96,1.0,0.9224137931034484,1.0,0.9772727272727273,0.8888888888888888,1.0,9.373412095955025,8.354517039519068,52.0,11.0,10.0,2.0,0.0,0.0,1.3478260869565217,2.0362330562311715,1.3478260869565217,2.0362330562311715,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,0.0,0.0,2.9565217391304346,3.5608765630436,16.17391304347826,25.505172690889488,14.26086956521739,21.79077659616636,0.2608695652173913,0.6887004431501819,199.0,490.0,269.0,37.0,10.0,0
235478,0.84,1.0,0.8103448275862069,1.0,0.6818181818181818,0.8888888888888888,0.6666666666666666,3.3790612905095103,3.732142639739488,58.0,7.0,6.0,4.0,0.0,0.0,1.588235294117647,2.5014701559635824,1.588235294117647,2.5014701559635824,0.17647058823529413,0.7276068751089989,0.0,0.0,0.0,0.0,0.0,0.0,4.588235294117647,5.24474526942696,19.58823529411765,24.78421580242507,11.882352941176471,16.650384203304352,0.29411764705882354,0.5878675320972554,156.0,498.0,289.0,22.0,2.0,1
236769,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,4.257767534508254,4.932289441039954,58.0,8.0,7.0,3.0,0.0,0.0,2.0,2.765331593774861,2.0,2.765331593774861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277777777777778,4.713005230280738,6.888888888888889,12.160151357847141,4.277777777777778,8.165966356528031,0.2222222222222222,0.5483188805533162,48.0,305.0,133.0,25.0,0.0,0
237718,0.86,-1.0,0.8275862068965517,1.0,0.8181818181818182,0.7777777777777778,0.3333333333333333,7.063673082418648,7.389329815814386,52.0,13.0,5.0,1.0,0.0,0.0,1.5789473684210527,2.5014615610719404,1.5789473684210527,2.5014615610719404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.684210526315789,4.619435169644629,30.05263157894737,39.67433215038342,15.578947368421053,24.482001982122124,1.4736842105263157,2.5899039247009314,247.0,971.0,252.0,14.0,2.0,0
239596,0.8,1.0,0.7758620689655172,0.875,0.7727272727272727,0.8333333333333334,0.6666666666666666,4.668284723871335,5.472912548991495,52.0,8.0,3.0,1.0,0.0,0.0,3.0,3.4377582547616425,3.0,3.4377582547616425,0.08333333333333333,0.28867513459481287,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.3933982252531925,5.75,15.869496182642633,1.25,1.2154310870109943,0.0,0.0,44.0,178.0,89.0,22.0,6.0,1
240229,0.99,1.0,0.9541379310344827,1.0,0.97,1.0,1.0,3.280684044934807,4.508002017125011,53.0,5.0,3.0,1.0,0.0,0.0,3.0,2.179449471770337,3.0,2.179449471770337,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,52.0,28.0,7.0,1.0,1
