,username,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,avg_day_diff,std_dev_day_diff,nightactivity_2_to_5,nightactivity_0_to_2,sesionesde_2_5,sesionesde_0_2
42,48d29ccec3cff9b11c912703cf6d26bf21b0cd55fbb45a1492f4a4327e081227,0.84,1.0,0.8075862068965518,0.875,0.7654545454545455,0.8333333333333334,1.0,2.48592684612687,4.125142080914196,58.0,9.0,6.0,3.0,0.0,0.0,2.0,3.199264621385211,2.0,3.199264621385211,0.2222222222222222,0.5483188805533161,3.4444444444444446,2.9550001935348242,21.833333333333332,42.101068870041765,4.555555555555555,4.59183703110873,0.0,0.0,107.0,547.0,356.0,14.0,8.0,28.0,21.641463471227418,68,473,1,2
43,44e3ee5571d07750644441808e51375fcac7e6011575c3150e483814d265347c,0.96,1.0,0.9310344827586208,1.0,1.0,1.0,0.6666666666666666,7.5377805013159245,7.951471948104575,60.0,12.0,6.0,2.0,0.0,0.0,3.05,5.325954325159409,3.05,5.325954325159409,0.15,0.6708203932499369,4.15,4.380278770268299,29.4,42.762994331671,16.5,21.47581258802073,0.45,1.234376040972246,237.0,834.0,450.0,27.0,16.0,23.75,19.493251193817393,363,771,10,18
44,aa8a30f09336b8633d3ab3ec7c69dae3d8feffe6b24445554b679048e86dd971,0.96,1.0,0.9310344827586208,1.0,0.8181818181818182,1.0,1.0,8.21100383942286,9.062833204794712,57.0,9.0,6.0,2.0,2.0588235294117645,2.6568446566202857,1.2941176470588236,2.1437323142813605,1.2941176470588236,2.1437323142813605,0.058823529411764705,0.24253562503633297,2.1176470588235294,2.666513475992023,5.176470588235294,8.854626573984127,3.0,5.062114182829147,0.35294117647058826,0.8617697249402124,79.0,186.0,76.0,17.0,5.0,25.352941176470587,18.65121033763824,32,386,1,15
45,7c3265912880c7f83128dda3e6948d61d26700caadf71338097113a12745e3c3,0.89,1.0,0.8593103448275863,1.0,0.7654545454545455,0.9444444444444444,0.6666666666666666,1.7835255178758325,2.2768018313030076,53.0,8.0,5.0,1.0,0.0,0.0,2.9285714285714284,3.7919811285291067,2.9285714285714284,3.7919811285291067,0.5714285714285714,1.2224996910042532,4.571428571428571,3.936306072259307,16.928571428571427,20.055554709986822,7.785714285714286,8.603921927090722,0.0,0.0,90.0,416.0,197.0,9.0,3.0,24.071428571428573,17.851801398929272,0,329,0,8
46,899b1d31bd8a80ec072db6c36fec721c6d5c130f34cd26ff3c02200c6e9cebf3,0.94,1.0,0.9051724137931034,1.0,0.9772727272727273,0.9444444444444444,0.6666666666666666,7.926787605035001,7.115576556491745,54.0,8.0,7.0,2.0,0.0,0.0,2.176470588235294,2.7211048794020933,2.235294117647059,2.727851988394575,0.23529411764705882,0.562295714538387,3.764705882352941,3.8815172897448535,7.764705882352941,11.971473446096276,4.235294117647059,6.619378858366413,0.6470588235294118,0.9963167462326072,118.0,206.0,162.0,24.0,4.0,25.705882352941178,17.652070366823665,165,57,9,6
47,10d6c6ace02e8bdb118e18b12742ff590223b153256b9b0ccc40622f57b02faa,0.92,1.0,0.8879310344827587,1.0,0.7954545454545454,0.8888888888888888,1.0,9.363479845670609,8.702755018544268,54.0,8.0,5.0,2.0,0.0,0.0,2.2666666666666666,2.374467358818655,2.2666666666666666,2.374467358818655,0.3333333333333333,1.0465362369445672,3.3333333333333335,3.352326839390103,11.066666666666666,20.526869730974106,6.0,7.937253933193772,0.0,0.0,71.0,171.0,322.0,19.0,9.0,27.133333333333333,17.565659137999376,12,340,1,0
48,c0024aa2bbc88086695de44f6c52dd394070db29fff6e875192b864923681db7,0.83,1.0,0.8048275862068967,0.5,0.7272727272727273,0.7044444444444444,1.0,1.088654747092917,2.282470847949542,59.0,6.0,5.0,3.0,2.2857142857142856,2.2677868380553634,2.357142857142857,2.9770181999170515,2.357142857142857,2.9770181999170515,0.21428571428571427,0.5789342235218394,3.0714285714285716,2.5256921584232868,10.285714285714286,12.766714964665383,6.142857142857143,6.585031310680106,3.5,4.345643264767069,62.0,335.0,234.0,23.0,10.0,30.214285714285715,20.655334834924783,239,408,12,6
49,66bf6984d3207a20ed14bed8af5494581e1d0d89eb1fd8a3c95870a830550611,0.95,1.0,0.913793103448276,1.0,0.7727272727272727,1.0,1.0,8.091779343064093,8.172506780211242,53.0,10.0,7.0,2.0,0.0,0.0,1.4736842105263157,2.4351231101124045,1.4736842105263157,2.4351231101124045,0.2631578947368421,0.9334586382051248,4.2631578947368425,3.9699161097092035,6.105263157894737,10.240956643910575,2.789473684210526,2.507299285606395,0.05263157894736842,0.22941573387056174,57.0,293.0,134.0,22.0,1.0,23.57894736842105,18.108671309850074,368,118,6,1
50,58cc096a765a4678a3e2eb2468d17bff2de109a7ae606107c1f57c18f1dd8a84,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,7.030889196031547,7.967956820109368,54.0,12.0,5.0,2.0,0.0,0.0,1.5789473684210527,1.7099639201419234,1.5789473684210527,1.7099639201419234,0.0,0.0,5.947368421052632,6.56991192407162,1.3157894736842106,2.8294607177369286,0.5789473684210527,1.261207070569223,0.05263157894736842,0.22941573387056177,61.0,197.0,80.0,25.0,7.0,21.0,19.026297590440446,142,151,4,8
51,12ff41eebc00afc9dc26675eea4f4a24f40b6f6d471cb6b1b9ae324d361edfa7,0.96,1.0,0.9310344827586208,1.0,0.8181818181818182,1.0,1.0,2.2138709373154932,3.6579260636061814,59.0,8.0,8.0,4.0,0.0,0.0,1.15,1.8715318802914818,1.15,1.8715318802914818,0.2,0.8944271909999159,3.85,2.7582412397834433,24.4,27.348433997310764,8.9,10.492603911427576,0.0,0.0,193.0,786.0,348.0,69.0,2.0,31.1,18.555464509353968,974,383,21,15
